id;cedula_beneficiario;telefono_emisor;telefono_beneficiario;monto;banco_emisor;concepto;referencia;fecha_hora
1;Web silver;Interactions s;open-source Fr;core;Urug;violet;Fish scale;Kina Chips
2;Handcrafted;mesh zero feed;RAM AI Salad;back-end Netherlands;empo;Cambridgeshire navigate;feed Awesome;toolset overriding Somalia
3;human-resource c;PCI;Cotton;generating;Cour;dynamic Gloves Administrator;compressing Inv;Ergonomic Beauty
4;New e-services s;Table virtual;unleash Music ;Kitts matrix;Iden;seize;Pizza Implement;Account platforms
5;Montenegro compr;Soft;payment;withdrawal Montana;Doll;calculating overriding Berkshire;users JSON;Adaptive Korean partnerships
6;AGP;SMTP;whiteboard;Rubber online;Inte;Regional parsing Computer;methodologies m;iterate
7;Investor;compressing;Gibraltar;District up Berkshir;circ;yellow Savings Unbranded;Comoro Loan Dol;Tasty navigate
8;multi-byte;sensor invoice;Corporate Musi;transmitter;Secu;Buckinghamshire;haptic turquois;Senior Strategist Shilling
9;Computers Poland;cutting-edge;Pa'anga Chilea;Advanced invoice Ste;Orga;Lock application;Poland Handmade;Granite Republic
10;FTP;Drives Money;plug-and-play;cohesive Cambridgesh;Acco;bluetooth Lead;Handmade;grey
